Дата;Инструмент;Тип сделки;Цена входа;Кол-во контрактов;Цена выхода;Причина выхода;Шаг цены;Стоимость шага;Прибыль/ убыток в руб.
31.08.2022;GAZP;шорт;25 778,00  ;1;24 194,00  ;take;1,00;1,00;1 584,00  
31.08.2022;GAZP;шорт;25 785,00  ;1;24 194,00  ;take;1,00;1,00;1 591,00  
31.08.2022;RTSM 9.22;шорт;1 205,00  ;1;1 242,50  ;stop;0,50;6,30;-472,74  
06.09.2022;GD 9.22;лонг;1 675,00  ;1;1 713,50  ;take;0,10;6,30;2 426,72  
08.09.2022;GD 9.22;шорт;1 709,60  ;1;1 714,50  ;stop;0,10;6,30;-308,85  
08.09.2022;GD 9.22;шорт;1 715,00  ;1;1 720,00  ;stop;0,10;6,30;-315,16  
13.09.2022;Spyf 12.22;шорт;403,95  ;1;413,59  ;stop;0,01;0,60;-578,50  
13.09.2022;Spyf 12.22;шорт;405,00  ;1;396,55  ;stop;0,01;0,60;507,08  
15.09.2022;si-12.22;лонг;61 370,00  ;1;61 209,00  ;hands;1,00;1,00;-161,00  
15.09.2022;si-12.22;шорт;61 200,00  ;1;61 185,00  ;hands;1,00;1,00;15,00  
15.09.2022;RTSM 12.22;шорт;1 172,00  ;1;1 146,00  ;hands;0,50;5,99;311,26  
15.09.2022;RTSM 12.22;шорт;1 176,00  ;1;1 171,00  ;take;0,50;5,99;59,86  
15.09.2022;GD 12.22;лонг;1 672,60  ;1;1 671,60  ;hands;0,10;5,99;-59,86  
15.09.2022;GD 12.22;лонг;1 661,00  ;1;1 653,20  ;stop;0,10;5,99;-466,89  
19.09.2022;GD 12.22;лонг;1 657,00  ;1;1 649,20  ;stop;0,10;5,99;-466,89  
28.09.2022;GD 12.22;шорт;1 625,00  ;1;1 637,00  ;stop;0,10;5,99;-718,29  
28.09.2022;GD 12.22;шорт;1 628,00  ;1;1 637,00  ;stop;0,10;5,99;-538,71  
30.09.2022;RTSM 12.22;шорт;971,50  ;1;1 037,00  ;stop;0,50;5,84;-765,14  
30.09.2022;RTSM 12.22;шорт;989,50  ;1;1 037,00  ;stop;0,50;5,84;-554,87  
30.09.2022;Spyf 12.22;шорт;383,26  ;1;379,44  ;take;0,01;0,60;229,24  
30.09.2022;GAZP;лонг;18 195,00  ;1;17 450,00  ;hands;1,00;1,00;-745,00  
30.09.2022;GAZP;лонг;18 200,00  ;1;17 450,00  ;hands;1,00;1,00;-750,00  
30.09.2022;GAZP;лонг;17 950,00  ;1;17 450,00  ;hands;1,00;1,00;-500,00  
03.10.2022;GD 12.22;лонг;1 678,70  ;1;1 673,80  ;hands;0,10;5,84;-286,20  
03.10.2022;RTSM 12.22;лонг;1 004,00  ;1;1 042,00  ;hands;0,50;5,84;443,90  
03.10.2022;RTSM 12.22;лонг;993,00  ;1;1 042,00  ;hands;0,50;5,84;572,39  
03.10.2022;GD 12.22;шорт;1 677,20  ;1;1 685,90  ;stop;0,10;5,84;-508,14  
03.10.2022;GD 12.22;шорт;1 680,50  ;1;1 685,90  ;stop;0,10;5,84;-315,40  
04.10.2022;RTSM 12.22;шорт;1 042,00  ;1;994,50  ;take;0,50;5,84;554,87  
04.10.2022;RTSM 12.22;шорт;1 042,00  ;1;994,50  ;take;0,50;5,84;554,87  
04.10.2022;GD 12.22;шорт;1 715,40  ;1;1 715,20  ;hands;0,10;5,84;11,68  
04.10.2022;GD 12.22;шорт;1 718,40  ;1;1 715,20  ;hands;0,10;5,84;186,90  
04.10.2022;BR 11.22;шорт;95,97  ;1;96,38  ;stop;0,01;6,10;-250,06  
10.10.2022;RTSM 12.22;шорт;976,00  ;1;1 036,00  ;stop;0,50;6,17;-740,28  
10.10.2022;RTSM 12.22;шорт;978,00  ;1;1 036,00  ;stop;0,50;6,17;-715,60  
11.10.2022;RTSM 12.22;шорт;1 000,00  ;1;1 036,00  ;stop;0,50;6,17;-444,17  
12.10.2022;RTSM 12.22;шорт;1 000,00  ;1;1 036,00  ;stop;0,50;6,17;-444,17  
25.10.2022;Spyf 12.22;шорт;381,23  ;1;384,36  ;stop;0,01;0,60;-187,83  
25.10.2022;Spyf 12.22;шорт;382,00  ;1;384,36  ;stop;0,01;0,60;-141,62  
26.10.2022;RTSM 12.22;шорт;1 068,50  ;1;1 084,00  ;hands;0,50;6,17;-191,24  
02.11.2022;RTSM 12.22;шорт;1 098,50  ;1;1 084,00  ;hands;0,50;6,17;178,90  
02.11.2022;RTSM 12.22;шорт;1 105,00  ;1;1 084,00  ;hands;0,50;6,17;259,10  
02.11.2022;RTSM 12.22;шорт;1 108,00  ;1;1 084,00  ;hands;0,50;6,17;296,11  
03.11.2022;RTSM 12.22;шорт;1 081,00  ;1;1 126,00  ;stop;0,50;6,17;-555,21  
03.11.2022;RTSM 12.22;шорт;1 081,50  ;1;1 126,00  ;stop;0,50;6,17;-549,04  
07.11.2022;RTSM 12.22;шорт;1 109,00  ;2;1 126,00  ;stop;0,50;6,17;-419,49  
07.11.2022;GD 12.22;шорт;1 676,50  ;1;1 681,70  ;stop;0,10;6,17;-320,79  
07.11.2022;GD 12.22;шорт;1 677,30  ;1;1 681,70  ;stop;0,10;6,17;-271,44  
15.11.2022;Spyf 12.22;шорт;397,63  ;1;401,12  ;stop;0,01;0,60;-209,43  
15.11.2022;Spyf 12.22;шорт;398,50  ;1;401,12  ;stop;0,01;0,60;-157,23  
15.11.2022;Spyf 12.22;шорт;399,00  ;1;401,12  ;stop;0,01;0,60;-127,22  
15.11.2022;Spyf 12.22;лонг;401,83  ;1;393,20  ;stop;0,01;0,60;-517,89  
16.11.2022;Spyf 12.22;лонг;398,26  ;1;393,20  ;stop;0,01;0,60;-303,65  
16.11.2022;GD 12.22;шорт;1 770,40  ;1;1 743,20  ;take;0,10;6,17;1 677,97  
16.11.2022;GD 12.22;шорт;1 770,50  ;1;1 734,90  ;take;0,10;6,17;2 196,16  
24.11.2022;GD 12.22;шорт;1 751,30  ;1;1 741,50  ;hands;0,10;6,17;604,56  
24.11.2022;GD 12.22;шорт;1 752,00  ;1;1 748,00  ;hands;0,10;6,17;246,76  
28.11.2022;Spyf 12.22;шорт;397,70  ;1;402,00  ;stop;0,01;0,60;-258,04  
29.11.2022;Spyf 12.22;шорт;396,85  ;1;400,20  ;stop;0,01;0,60;-201,03  
29.11.2022;GD 12.22;шорт;1 743,00  ;1;1 751,80  ;stop;0,10;6,17;-542,87  
