Date;Name;Type;Open_price;Value;Close_price;Reasons;Step;Step_price;Delta
06.апр;EGLD;шорт;173,65;1;165,57;hands;1;20;161,6
06.апр;BTC;лонг;44 877,00;1;43 754,00;stop;1;0,2;-224,6
06.апр;DOT;шорт;20,71;1;20,661;hands;1;100;5,1
06.апр;BTC;шорт;43 643,00;1;44177,7;stop;1;0,1;-53,47
06.апр;ETH;шорт;3 206,56;1;3238;stop;1;1;-31,44
07.апр;LTC;лонг;113,24;1;113,12;hands;1;50;-6
07.апр;BNB;шорт;429,56;1;434;stop;1;10;-44,4
07.апр;LTC;шорт;113,1;1;114,58;stop;1;75;-111
07.апр;KSM;шорт;182,12;1;179,6;hands;1;20;50,4
07.апр;SOL;лонг;113,25;1;117,19;Take;1;20;78,8
07.апр;LUNA;шорт;104,69;1;104,575;stop;1;10;1,15
07.апр;DOT;шорт;20,26;1;20,453;stop;1;100;-19
07.апр;ALGO;шорт;0,8;1;0,8039;stop;1;1000;-5,6
07.апр;ETH;шорт;3 218,24;1;3230,21;stop;1;1;-11,97
07.апр;ALGO;шорт;0,8;1;0,8043;stop;1;2000;-11,6
08.апр; SOL;шорт;117,93;1;118,9;stop;1;20;-19,4
08.апр;ALGO;шорт;0,79;1;0,7941;stop;1;2000;-9,6
08.апр; SOL;лонг;118,89;1;119,24;Take;1;20;7
08.апр;LUNA;лонг;102,13;1;101,268;stop;1;20;-17,3
08.апр;BNB;шорт;427,48;1;426,08;Take;1;7;9,8
08.апр;ALGO;лонг;0,78;1;0,7786;stop;1;2000;-11
08.апр;BTC;шорт;42 888,70;1;43115,7;stop;1;0,1;-22,7
08.апр;ETH;шорт;3 215,96;1;3241,22;stop;1;1;-25,26
08.апр;DOT;лонг;20,04;1;20,227;Take;1;50;9,6
08.апр;LUNA;лонг;100,17;1;100,916;Take;1;10;7,46
09.апр;ALGO;лонг;0,78;1;0,7724;stop;1;2000;-12
09.апр;BTC;шорт;42 450,20;1;43164,5;stop;1;0,1;-71,43
09.апр;NEAR;шорт;16,79;1;17,135;stop;1;100;-34,6
09.апр;BNB;шорт;428,38;1;429,35;stop;1;0,5;-0,485
09.апр;EGLD;шорт;166,12;1;167,48;stop;1;1;-1,36
09.апр;BTC;шорт;42 546,50;1;43164,5;stop;1;0,01;-6,18
09.апр;EGLD;шорт;165,85;1;167,48;stop;1;1;-1,63
09.апр;BNB;шорт;423,39;1;429,35;stop;1;0,5;-2,98
10.апр;BTC;шорт;42 600,80;1;43164,5;stop;1;0,02;-11,274
10.апр;BNB;шорт;425,62;1;422,03;hands;1;0,5;1,795
10.апр;BTC;шорт;42 601,10;1;43164,5;stop;1;0,01;-5,634
10.апр;BTC;шорт;42 548,40;1;43164,5;stop;1;0,01;-6,161
10.апр;BNB;шорт;424,08;1;422,03;hands;1;0,5;1,025
10.апр;CHR;лонг;0,49;1;0,4835;stop;1;200;-1,34
10.апр;BTC;шорт;42 503,60;1;43164,5;stop;1;0,02;-13,218
11.апр;BTC;лонг;40 975,90;1;40812,9;stop;1;0,02;-3,26
11.апр;ALGO;лонг;0,71;1;0,7139;hands;1;1000;0,4
11.апр; SOL;шорт;102,33;1;99,02;Take;1;4;13,24
11.апр;ALGO;шорт;0,71;1;0,6855;Take;1;500;13,75
11.апр;ALGO;шорт;0,72;1;0,6855;Take;1;100;3,11
11.апр;ALGO;шорт;0,72;1;0,6855;Take;1;100;3,24
11.апр;BTC;шорт;40 443,00;1;39512;Take;1;0,02;18,62
11.апр;BTC;шорт;39 755,40;1;39512;Take;1;0,02;4,868
11.апр;BTC;шорт;39 825,70;1;39512;Take;1;0,02;6,274
11.апр;ALGO;шорт;0,71;1;0,6855;Take;1;200;4,6
11.апр; SOL;шорт;100,47;1;99,02;Take;1;4;5,8
11.апр;BTC;шорт;40 080,40;1;39512;Take;1;0,02;11,368
11.апр;ALGO;шорт;0,7;1;0,6855;Take;1;100;1,52
12.апр;MATIC;лонг;1,37;1;1,41;Take;1;1500;53,1
12.апр;NEAR;лонг;16,24;1;16,913;Take;1;120;81,12
12.апр;ALGO;шорт;0,74;1;0,74;stop;1;1000;1,6
12.апр;BTC;шорт;40 433,90;1;40265,8;Take;1;0,05;8,405
12.апр;MATIC;шорт;1,46;1;1,421;Take;1;1300;48,23
12.апр;ETH;шорт;3 037,13;1;3055,55;Take;1;1;-18,42
12.апр;ETC;шорт;37,67;1;38,6;hands;1;30;-27,87
12.апр;ALGO;шорт;0,73;1;0,7203;Take;1;1000;6,4
12.апр; SOL;лонг;103,96;1;102,65;stop;1;10;-13,1
12.апр;ALGO;лонг;0,72;1;0,7184;stop;1;1000;-3,8
12.апр;BTC;шорт;39 692,30;1;39948,3;stop;1;0,05;-12,8
12.апр;BTC;шорт;39 750,08;1;39948,3;stop;1;0,05;-9,911
12.апр;ALGO;шорт;0,71;1;0,7214;stop;1;1000;-7,4
13.апр;BTC;шорт;39 894,50;1;40021,6;stop;1;0,1;-12,71
13.апр;BTC;шорт;40 508,90;1;40630;stop;1;0,1;-12,11
13.апр; SOL;шорт;103,2;1;104,4;stop;1;10;-12
13.апр;BTC;шорт;40 702,70;1;41088;stop;1;0,1;-38,53
13.апр;NEAR;шорт;16,08;1;16,399;stop;1;120;-38,04
13.апр;NEAR;лонг;16,51;1;16,421;stop;1;100;-8,5
13.апр;BTC;лонг;41 155,00;1;40979,5;stop;1;0,1;-17,55
13.апр;SOL;лонг;105,86;1;104,7;stop;1;10;-11,6
14.апр;BCH;шорт;343,33;1;343,86;hands;1;3;-1,59
14.апр;BCH;шорт;345,84;1;343,86;hands;1;1;1,98
14.апр;ALGO;шорт;0,76;1;0,7494;Take;1;200;1,94
14.апр;ALGO;шорт;0,76;1;0,7494;Take;1;200;1,6
14.апр;ALGO;шорт;0,76;1;0,7494;Take;1;100;0,97
14.апр;ALGO;шорт;0,76;1;0,7494;Take;1;300;2,22
14.апр;MATIC;шорт;1,41;1;1,4055;Take;1;1000;5,5
14.апр;BTC;шорт;41 155,50;1;41099,7;Take;1;0,05;2,79
14.апр;BNB;шорт;419,82;1;418,8;Take;1;5;5,1
14.апр;MATIC;шорт;1,42;1;1,4055;Take;1;100;1,11
14.апр;BTC;лонг;41 129,80;1;40958;stop;1;0,06;-10,308
14.апр;NEAR;лонг;17,66;1;17,55;stop;1;130;-14,3
14.апр;BTC;лонг;40 883,70;1;41151;Take;1;0,1;26,73
14.апр;BTC;шорт;40 685,00;1;40496;Take;1;0,1;18,9
14.апр;BTC;лонг;40 407,00;1;40095;stop;1;0,1;-31,2
14.апр;BTC;лонг;39 970,00;1;39620;stop;1;0,1;-35
14.апр;BTC;лонг;39 704,00;1;39620;stop;1;0,1;-8,4
14.апр;BTC;шорт;39 606,00;1;39705;stop;1;0,1;-9,9
15.апр;BTC;лонг;40 058,00;1;40134;Take;1;0,1;7,6
15.апр;ALGO;шорт;0,73;1;0,7361;stop;1;1000;-2,8
15.апр;MATIC;шорт;1,39;1;1,3719;Take;1;1000;18,1
15.апр;BTC;лонг;40 120,00;1;40030;stop;1;0,1;-9
16.янв;NEAR;лонг;15,99;1;15,995;Take;1;13;0,065
16.янв;BTC;лонг;40 076,00;1;39967,9;stop;1;0,1;-10,81
16.янв;NEAR;лонг;15,72;1;15,579;stop;1;100;-14,2
16.янв;CHR;лонг;1,37;1;1,3702;Take;1;1000;3,2
16.янв;BNB;лонг;412,4;1;413,14;Take;1;5;3,7
16.янв;BTC;лонг;40 051,60;1;40128,2;Take;1;0,1;7,66
17.апр;ALGO;лонг;0,74;1;0,7402;Take;1;2000;1,2
17.апр;ALGO;лонг;0,74;1;0,7339;stop;1;2000;-11,4
17.апр; SOL;шорт;104,82;1;105,45;Take;1;10;-6,3
17.апр; SOL;шорт;104,8;1;105,45;Take;1;10;-6,5
17.апр;LUNA;шорт;82,28;1;79,98;Take;1;10;23
18.апр;LUNA;шорт;77,55;1;78,361;Take;1;13;0
18.апр; SOL;шорт;96,15;1;96,83;stop;1;13;-8,84
18.апр;ALGO;шорт;0,7;1;0,7008;Take;1;1000;-0,8
18.апр;LUNA;шорт;78,43;1;78,959;stop;1;13;-6,929
18.апр;MATIC;лонг;1,33;1;1,354;Take;1;2500;72,5
18.апр;NEAR;лонг;12,25;1;12,2;stop;1;130;-6,89
18.апр;LUNA;шорт;78,43;1;78,96;stop;1;13;-6,942
18.апр;MATIC;лонг;1,33;1;1,3547;Take;1;2500;74,25
18.апр;NEAR;лонг;15,25;1;15,207;Take;1;130;-6,11
18.апр;LUNA;шорт;84,53;1;85,424;stop;1;18;-16,164
