Date;Name;Type;Open_price;Value;Close_price;Reasons;Step;Step_price;Delta
11.05.2022;LUNA;лонг;1,3;1;0,01;hands;1;10;-13
11.05.2022;LUNA;лонг;1,4;1;0,01;hands;1;10;-14
11.05.2022;LUNA;лонг;1,5;1;0,01;hands;1;10;-15
11.05.2022;DOT;лонг;9,5;1;10,65;hands;1;2;2,3
11.05.2022;DOT;лонг;10;1;10,65;hands;1;2;1,3
11.05.2022;BTC;лонг;29 914,90;1;30520;hands;1;0,001;0,6051
11.05.2022;BTC;лонг;29 000,00;1;30520;hands;1;0,001;1,52
11.05.2022;BTC;лонг;30 030,00;1;30520;hands;1;0,001;0,49
11.05.2022;DOT;лонг;8,3;1;10,65;hands;1;6;14,1
11.05.2022;DOT;лонг;8,15;1;10,65;hands;1;6;15
11.05.2022;DOT;лонг;8,5;1;10,65;hands;1;2;4,3
11.05.2022;LUNA;лонг;0,2;1;0,01;hands;1;100;-19
11.05.2022;LUNA;лонг;0,03;1;0,01;hands;1;305,81;-6,941887
11.05.2022;LUNA;лонг;1;1;0,01;hands;1;10;-9,9
11.05.2022;LUNA;лонг;0,8;1;0,01;hands;1;20;-15,8
11.05.2022;LUNA;лонг;0,75;1;0,01;hands;1;50;-37
12.05.2022;LUNA;лонг;0,65;1;0,01;hands;1;50;-32
14.05.2022;LUNA;лонг;0;1;0,00007955;hands;1;30524;-15,262
14.05.2022;LUNA;лонг;0;1;0,00007955;hands;1;60955;-16,43163935
