Date;Name;Type;Open_price;Value;Close_price;Reasons;Step;Step_price;Delta
10.март;BTC;шорт;39 061,20;1;39 550,00;stop;1;0,01;-4,888
10.март;BTC;шорт;39 021,00;1;39 520,00;stop;1;0,01;-4,99
10.март;BNB;лонг;367,8;1;377,4;hands;1;0,897;8,6112
10.март;SOL;лонг;82,03;1;83,5;take;1;3;4,41
10.март;LUNA;шорт;98,07;1;99,75;stop;1;2;-3,36
11.март;LTC;шорт;103,32;1;105,16;stop;1;5;-9,2
11.март;DYDX;шорт;4,75;1;4,671;take;1;500;38
11.март;SOL;шорт;83,49;1;84,22;take;1;3;-2,19
11.март;BTC;шорт;39 899,90;1;39 438,20;take;1;0,01;4,617
11.март;BNB;шорт;377,37;1;372,93;take;1;1;4,44
11.март;LUNA;лонг;92,07;1;91,81;stop;1;50;-13
11.март;LUNA;лонг;90,85;1;90,02;stop;1;10;-8,3
12.март;LUNA;шорт;89,49;1;89,83;stop;1;30;-10,2
12.март;LTC;шорт;104,98;1;105,51;stop;1;10;-5,3
12.март;ALPHA;лонг;0,27;1;0,2674;stop;1;2000;-3,4
12.март;BNB;лонг;377,2;1;376,62;take;1;10;-5,8
12.март;SOL;шорт;81,93;1;81,85;take;1;30;2,4
12.март;DYDX;шорт;4,75;1;4,73;hands;1;1000;20
14.март;ATOM;шорт;26,6;1;26,76;stop;1;200;-32
15.февр;ALPHA;шорт;0,27;1;0,2778;stop;1;200;-2,08
15.февр;SOL;шорт;80;1;82,3;stop;1;1;-2,3
15.февр;BTC;шорт;39 435,00;1;40 000,00;stop;1;0,01;-5,65
15.февр;ALGO;лонг;0,7;1;0,7206;TAKE;1;200;3,52
15.февр;ALGO;лонг;0,69;1;0,733;TAKE;1;200;8,6
15.февр;EGLD;шорт;150,3;1;154,5;stop;1;1;-4,2
16.март;RAY;шорт;2,55;1;2,46;TAKE;1;100;9
16.март;MATIC;шорт;1,46;1;1,48;stop;1;100;-2
16.март;DYDX;шорт;4,6;1;4,63;stop;1;50;-1,5
16.март;ANKR;шорт;0,0745;1;0,0745;stop;1;3000;0
16.март;ALPHA;шорт;0,27;1;0,2778;stop;1;300;-2,04
16.март;GRT;шорт;0,418;1;0,423;stop;1;500;-2,5
16.март;EGLD;шорт;161;1;155;TAKE;1;1;6
16.март;EGLD;шорт;159;1;154;TAKE;1;1;5
16.март;EGLD;шорт;158;1;158;stop;1;1;0
17.март;RAY;шорт;2,55;1;2,506;TAKE;1;24,3;1,0206
17.март;SOL;шорт;90;1;88,7;TAKE;1;1;1,3
17.март;SOL;шорт;89,8;1;86,7;TAKE;1;1;3,1
17.март;SOL;шорт;89,5;1;84,5;TAKE;1;1;5
17.март;ANKR;лонг;0,07208;1;0,07208;stop;1;3000;0
17.март;ANKR;лонг;0,07252;1;0,07178;stop;1;3000;-2,22
17.март;ANKR;лонг;0,07231;1;0,07138;stop;1;3000;-2,79
18.март;GRT;лонг;0,4;1;0,426;TAKE;1;500;13
18.март;LINA;лонг;0,02001;1;0,0212;TAKE;1;3000;3,57
18.март;LINA;лонг;0,02033;1;0,0214;hands;1;5000;5,35
18.март;LINA;лонг;0,02033;1;0,0214;hands;1;5000;5,35
18.март;XTZ;лонг;3,063;1;3,125;TAKE;1;30;1,86
18.март;XTZ;лонг;3,091;1;3,15;TAKE;1;40;2,36
18.март;XTZ;лонг;3,11;1;3,2;TAKE;1;30;2,7
18.март;SOL;лонг;88,6;1;90;hands;1;1;1,4
18.март;ALPHA;лонг;0,28;1;0,2945;TAKE;1;300;3,06
18.март;ALPHA;лонг;0,29;1;0,3;TAKE;1;300;4,08
18.март;ALPHA;лонг;0,27;1;0,2945;hands;1;300;8,13
18.март;ALGO;лонг;0,75;1;0,7661;hands;1;200;2,52
18.март;DOT;лонг;18,73;1;19,18;TAKE;1;5;2,25
18.март;DOT;лонг;18,85;1;19,35;TAKE;1;5;2,5
18.март;DOT;лонг;19;1;18,93;TAKE;1;5;-0,35
18.март;EGLD;лонг;163,83;1;157,7;stop;1;1;-6,13
18.март;ETH;лонг;2 924,73;1;2948;hands;1;0,1;2,327
18.март;ATOM;шорт;27,94;1;28,12;stop;1;8;-1,44
18.март;ATOM;шорт;27,94;1;28,12;stop;1;8;-1,44
18.март;ATOM;шорт;27,94;1;28,12;stop;1;8;-1,44
18.март;NULS;лонг;0,386;1;0,42;TAKE;1;300;10,2
18.март;LTC;лонг;108;1;110;TAKE;1;2;4
18.март;LTC;лонг;108;1;111;TAKE;1;2;6
18.март;LTC;лонг;109;1;113;TAKE;1;2;8
18.март;LTC;лонг;109;1;117;TAKE;1;2;16
18.март;ATOM;лонг;27,26;1;27,26;stop;1;8;0
19.март;ETH;лонг;2 945,00;1;2965;TAKE;1;0,1;2
19.март;ETH;лонг;2 945,00;1;2936;hands;1;0,1;-0,9
19.март;ETH;лонг;2 945,00;1;2936;hands;1;0,1;-0,9
19.март;CFX;лонг;0,11;1;0,127;hands;1;1000;19
19.март;CFX;лонг;0,11;1;0,127;hands;1;1000;19
19.март;CFX;лонг;0,11;1;0,127;hands;1;1000;19
19.март;AVAX;шорт;89,71;1;91,1;hands;1;1;-1,39
19.март;AVAX;шорт;89,71;1;91,1;hands;1;1;-1,39
19.март;AVAX;шорт;89,71;1;91,1;hands;1;1;-1,39
19.март;NULS;лонг;0,386;1;0,4143;hands;1;300;8,49
19.март;NULS;лонг;0,386;1;0,4143;hands;1;300;8,49
